algorithm,benchmark,seed,evaluations,best_value,best_candidate
evolution_strategy,rosenbrock,100,20000,5.306767043796251,"[0.9267263738790147, 0.8735604546034563, 0.8368364408825448, 0.7169879758485929, 0.6071084836961516, 0.40181744467922503, 0.17464610594416735, -0.018112064655724583, 0.013062607040230684, 0.036985564826829055]"
evolution_strategy,rosenbrock,101,20000,8.359233538629505,"[0.5743779202895569, 0.3647541796333489, 0.14818737822706785, 0.022428890782966365, 0.013969414905973247, -0.02786751343778105, 0.09750074803108713, 0.03009291852771731, 0.014641743326945003, -0.03146166690549201]"
evolution_strategy,rosenbrock,102,20000,7.13652475545083,"[0.7945865517389996, 0.5749310958961773, 0.2978251236927055, 0.09292597515640315, 0.03852389185774365, -0.0063385212870423376, -2.0883462781978723e-05, -0.027157871711517588, -0.0011329190524191415, 0.00798883490570524]"
evolution_strategy,rosenbrock,103,20000,133.45283547029337,"[0.7750944898401603, 0.48952002885904644, 0.20711259572330948, 0.14164047587645764, -0.017937057390412882, 0.006798604581952625, -0.915424140311949, 1.428423106426357, 2.2128420984316004, 4.953313807954609]"
evolution_strategy,rosenbrock,104,20000,104.8114341311319,"[0.501564633805847, 0.31767436722604514, 0.04998386003270731, -0.01229543537072441, 0.016267054315963855, -0.7964118366927393, 1.1080812438044763, 1.4980887401862004, 2.362365896160236, 5.651374281221071]"
evolution_strategy,rosenbrock,105,20000,8.446532126613743,"[0.4454768359179663, 0.21495432495393402, 0.04190218923715819, -0.006689137519160511, 0.055780391004223856, 0.00623964876371803, 0.013363888851930192, 0.030960384584005404, 0.06915090845079616, 0.013675779308861134]"
evolution_strategy,rosenbrock,106,20000,7.516959418840318,"[0.7586982341476478, 0.5181200279004392, 0.280742097831966, 0.0963773032218986, 0.052792476182487225, -0.020466878673102068, 0.00898793152833282, -0.027172041059233473, -0.0009345699011026748, -0.0461734156997138]"
evolution_strategy,rosenbrock,107,20000,6.097403120877545,"[0.9539215632321016, 0.8539016524693142, 0.6998179136941045, 0.4938637897413695, 0.2802421645254835, 0.016691493055148957, -0.023604206796805728, 0.023654826014283127, -0.00798001432088951, 0.04381323788583465]"
evolution_strategy,rosenbrock,108,20000,96.71527091319024,"[-0.027184213762101755, 0.028134219881294914, 0.027559919326848377, 0.002451983587527934, -0.7384554530455685, 1.0756902803696387, 1.3118304406493935, 1.725635246674238, 2.979156215889985, 8.87280784220094]"
evolution_strategy,rosenbrock,109,20000,8.443092939426563,"[0.46094516260548407, 0.23344979651648678, 0.07706266079460145, 0.01612368863603201, 0.039314772848915165, 0.017759206218862233, 0.057146352470694495, 0.06659566072826484, 0.00743554216387142, -0.032024924158762014]"
evolution_strategy,rosenbrock,110,20000,10.338041787219112,"[-0.6735366116058288, 0.4479836874521082, 0.19324625686593036, 0.04027879080183491, 0.02975563480024805, 0.03541647589018635, 0.07956249218366758, 0.03742750907048195, -0.019745766213317043, 0.01161948954184749]"
evolution_strategy,rosenbrock,111,20000,9.609973322205052,"[0.3866608692161151, 0.15686844241971037, -0.038400152213233396, -0.05963855359640935, -0.03490142783231104, 0.06223894153776026, 0.022632504762752692, 0.0049834384378584645, -0.01921578728758061, -0.01263843233830914]"
evolution_strategy,rosenbrock,112,20000,7.9393113446651125,"[0.7496545967477183, 0.598200819462559, 0.34379499571802286, 0.10423083773243648, -0.049725821902026, -0.0017403979301763295, -0.009967051679314437, 0.0591970595564941, -0.06047430427349353, 0.02345719483927405]"
evolution_strategy,rosenbrock,113,20000,5.290325263203941,"[0.9661983301796201, 0.8766870087515177, 0.7526984794094034, 0.6058494008256238, 0.4061863309129558, 0.14961792131785578, 0.06335680921903265, 0.01963251030888019, -0.03274864021501932, -0.02975922319815875]"
evolution_strategy,rosenbrock,114,20000,6.797912710239055,"[0.7846794737283691, 0.6611538055897691, 0.4228862332565159, 0.17790987014933946, 0.02229719293057679, 0.03204086647261703, -0.010073882341724988, -0.03565331976464646, 0.04572435643455707, 0.026326487440705294]"
evolution_strategy,rosenbrock,115,20000,5.3654433420550856,"[0.9168880153788964, 0.8412049609774438, 0.6675443164819939, 0.48512048843069033, 0.2695941091626157, 0.06460043124569526, 0.040010822292005935, -0.0022722939070132925, -0.01423153371557892, -0.005826483236976196]"
evolution_strategy,rosenbrock,116,20000,158.64441934527463,"[0.5485285220559201, 0.264215210178417, 0.11494285662603351, 0.03891867782119196, -0.05534383468198348, 0.012040984267085789, -1.010322865237495, 1.6092991397477199, 2.8721001682541476, 8.16297877160956]"
evolution_strategy,rosenbrock,117,20000,7.656527024543433,"[0.7142767035155689, 0.4903954931441824, 0.22661175084479496, 0.02504315026850347, -0.009375985284840675, -0.009011814825189125, -0.009860146994340395, 0.031140961071248342, 0.038122289408057466, -0.0660470309557649]"
evolution_strategy,rosenbrock,118,20000,8.046668482897912,"[0.5912458473348838, 0.35151830103423926, 0.18755689968902625, 0.037414221314895316, -0.025477224802201784, -0.03557735331674099, 0.008428086586539398, 0.03316547624340371, -0.016347417914655507, -0.019357390575632925]"
evolution_strategy,rosenbrock,119,20000,8.64247463963203,"[0.49013918832239295, 0.22512543006412153, 0.06601715208416542, -0.00925681819741819, 0.034490402440455106, 0.046610009199845, 0.08193126140019176, -0.008037241066013404, 0.048584545096629364, -0.0030621502784608165]"
