algorithm,benchmark,seed,evaluations,best_value
evolution_strategy,sphere,100,100,41.688019014651765
evolution_strategy,sphere,100,200,38.516334419897646
evolution_strategy,sphere,100,300,35.655503662538884
evolution_strategy,sphere,100,400,32.25787691032942
evolution_strategy,sphere,100,500,28.96238140150733
evolution_strategy,sphere,100,600,26.85828125972681
evolution_strategy,sphere,100,700,23.704921897571076
evolution_strategy,sphere,100,800,20.907520999604927
evolution_strategy,sphere,100,900,17.635834045148574
evolution_strategy,sphere,100,1000,15.342221179921603
evolution_strategy,sphere,100,1100,13.175562074429191
evolution_strategy,sphere,100,1200,11.157345639342882
evolution_strategy,sphere,100,1300,9.752963516213539
evolution_strategy,sphere,100,1400,7.564824058551473
evolution_strategy,sphere,100,1500,6.234347004787425
evolution_strategy,sphere,100,1600,4.515543751611729
evolution_strategy,sphere,100,1700,3.56864976870503
evolution_strategy,sphere,100,1800,2.8445218497908478
evolution_strategy,sphere,100,1900,2.0072951667581704
evolution_strategy,sphere,100,2000,1.554171240743393
evolution_strategy,sphere,100,2100,0.986625735422962
evolution_strategy,sphere,100,2200,0.5740416099493334
evolution_strategy,sphere,100,2300,0.40763232932087823
evolution_strategy,sphere,100,2400,0.23563219017197676
evolution_strategy,sphere,100,2500,0.08539174733233659
evolution_strategy,sphere,100,2600,0.06173511800264401
evolution_strategy,sphere,100,2700,0.04583161096868625
evolution_strategy,sphere,100,2800,0.04583161096868625
evolution_strategy,sphere,100,2900,0.03945306278325958
evolution_strategy,sphere,100,3000,0.03945306278325958
evolution_strategy,sphere,100,3100,0.02687005076428299
evolution_strategy,sphere,100,3200,0.02496181712034032
evolution_strategy,sphere,100,3300,0.02250062683097373
evolution_strategy,sphere,100,3400,0.02250062683097373
evolution_strategy,sphere,100,3500,0.02250062683097373
evolution_strategy,sphere,100,3600,0.02250062683097373
evolution_strategy,sphere,100,3700,0.02250062683097373
evolution_strategy,sphere,100,3800,0.02250062683097373
evolution_strategy,sphere,100,3900,0.02250062683097373
evolution_strategy,sphere,100,4000,0.02250062683097373
evolution_strategy,sphere,100,4100,0.009319623890173398
evolution_strategy,sphere,100,4200,0.009319623890173398
evolution_strategy,sphere,100,4300,0.009319623890173398
evolution_strategy,sphere,100,4400,0.009319623890173398
evolution_strategy,sphere,100,4500,0.009319623890173398
evolution_strategy,sphere,100,4600,0.009319623890173398
evolution_strategy,sphere,100,4700,0.009319623890173398
evolution_strategy,sphere,100,4800,0.009319623890173398
evolution_strategy,sphere,100,4900,0.009319623890173398
evolution_strategy,sphere,100,5000,0.009319623890173398
evolution_strategy,sphere,100,5100,0.009319623890173398
evolution_strategy,sphere,100,5200,0.009319623890173398
evolution_strategy,sphere,100,5300,0.009319623890173398
evolution_strategy,sphere,100,5400,0.009319623890173398
evolution_strategy,sphere,100,5500,0.009319623890173398
evolution_strategy,sphere,100,5600,0.009319623890173398
evolution_strategy,sphere,100,5700,0.009319623890173398
evolution_strategy,sphere,100,5800,0.009319623890173398
evolution_strategy,sphere,100,5900,0.009319623890173398
evolution_strategy,sphere,100,6000,0.009319623890173398
evolution_strategy,sphere,100,6100,0.009319623890173398
evolution_strategy,sphere,100,6200,0.009319623890173398
evolution_strategy,sphere,100,6300,0.009319623890173398
evolution_strategy,sphere,100,6400,0.009319623890173398
evolution_strategy,sphere,100,6500,0.009319623890173398
evolution_strategy,sphere,100,6600,0.009319623890173398
evolution_strategy,sphere,100,6700,0.009319623890173398
evolution_strategy,sphere,100,6800,0.009319623890173398
evolution_strategy,sphere,100,6900,0.009319623890173398
evolution_strategy,sphere,100,7000,0.009319623890173398
evolution_strategy,sphere,100,7100,0.009319623890173398
evolution_strategy,sphere,100,7200,0.009319623890173398
evolution_strategy,sphere,100,7300,0.009319623890173398
evolution_strategy,sphere,100,7400,0.009319623890173398
evolution_strategy,sphere,100,7500,0.009319623890173398
evolution_strategy,sphere,100,7600,0.009319623890173398
evolution_strategy,sphere,100,7700,0.009319623890173398
evolution_strategy,sphere,100,7800,0.009319623890173398
evolution_strategy,sphere,100,7900,0.009319623890173398
evolution_strategy,sphere,100,8000,0.009319623890173398
evolution_strategy,sphere,100,8100,0.009319623890173398
evolution_strategy,sphere,100,8200,0.009319623890173398
evolution_strategy,sphere,100,8300,0.009319623890173398
evolution_strategy,sphere,100,8400,0.009319623890173398
evolution_strategy,sphere,100,8500,0.009319623890173398
evolution_strategy,sphere,100,8600,0.009319623890173398
evolution_strategy,sphere,100,8700,0.009319623890173398
evolution_strategy,sphere,100,8800,0.009319623890173398
evolution_strategy,sphere,100,8900,0.009319623890173398
evolution_strategy,sphere,100,9000,0.009319623890173398
evolution_strategy,sphere,100,9100,0.009319623890173398
evolution_strategy,sphere,100,9200,0.009319623890173398
evolution_strategy,sphere,100,9300,0.009319623890173398
evolution_strategy,sphere,100,9400,0.009319623890173398
evolution_strategy,sphere,100,9500,0.009319623890173398
evolution_strategy,sphere,100,9600,0.009319623890173398
evolution_strategy,sphere,100,9700,0.009319623890173398
evolution_strategy,sphere,100,9800,0.009319623890173398
evolution_strategy,sphere,100,9900,0.009319623890173398
evolution_strategy,sphere,100,10000,0.009319623890173398
evolution_strategy,sphere,100,10100,0.009319623890173398
evolution_strategy,sphere,100,10200,0.009319623890173398
