algorithm,benchmark,seed,evaluations,best_value,best_candidate
evolution_strategy,sphere,100,20000,0.008393076732084163,"[0.014883494542868025, 0.046312432999111273, -0.02878404467336244, -0.01919803973227613, -0.02374747392214738, -0.012282321510651006, -0.03259544726992097, -0.035646577611605584, 0.040966082160275336, 0.010172089734971593]"
evolution_strategy,sphere,101,20000,0.005532687907830076,"[0.004599324212909154, 0.0032501419619251973, -0.0027599178389546893, -0.018158927764358995, -0.03281269583349419, -0.008781119366935302, -0.007719205925873038, -0.003768164173127052, -0.020431018733330048, 0.05931790711725963]"
evolution_strategy,sphere,102,20000,0.009274884796036635,"[-0.00022470232263644557, 0.034904038505040154, -0.00861439179638919, -0.05534181210939522, 0.006967062169369882, 0.0078042698691142415, -0.06476892414569543, -0.0036441802771648643, 0.023044646209338528, 0.008415616442630686]"
evolution_strategy,sphere,103,20000,0.006934275673909246,"[-0.03618624779449436, -0.037746579696879556, -0.01749235462524766, -0.019341854935889607, 0.022563132710994038, 0.012703146225008448, -0.04818113738118447, 0.009685237783990181, 0.011333416046970284, -0.017487138463362056]"
evolution_strategy,sphere,104,20000,0.011559603043550994,"[-0.004876140041630117, -0.013413264528410927, -0.049006985188158755, -0.01574247232798958, 0.033566224889582316, 0.0005751326691469834, -0.019228694267934075, -0.031494353366732245, -0.01803389892221324, 0.07676275063991864]"
evolution_strategy,sphere,105,20000,0.011207361808726618,"[-0.0037096207162302455, -0.03308849540594629, -0.04052905085626102, -0.023691892947814687, -0.0409454483516656, 0.017668946239245947, 0.043730746749637436, -0.029308887935470963, -0.04726566559084027, -0.03001147398770275]"
evolution_strategy,sphere,106,20000,0.005826584035516344,"[0.008567540059736242, -0.014812340222943421, 0.00683244444898415, -0.054741220357715864, -0.022931802872254055, 0.016424631310451267, -0.009916522283327775, -0.0331468723882188, -0.015766804340190864, -0.015786436820442923]"
evolution_strategy,sphere,107,20000,0.008134499873251247,"[0.0492264239021338, 0.00893074465344491, 0.034164299418155984, 0.0017340075408396674, 0.028086825769058868, -0.03803851913564427, -0.022528471948282953, 0.025417910430889055, -0.03193909658529852, 0.007196380799540606]"
evolution_strategy,sphere,108,20000,0.007776208847372219,"[0.023008034221998055, 0.00016554905317754665, -0.02440102408666474, 0.0054683287829741245, -0.004424170784645119, -0.051257048091250715, -0.034717440059985116, -0.0187235935974564, 0.011491846678018072, 0.04781950227901729]"
evolution_strategy,sphere,109,20000,0.010719741248546955,"[0.024127742691988814, 0.053634817852790756, 0.05329930661886909, 0.015419684182344625, 0.03301683664094001, -0.013299943439513413, 0.025869636904003967, 0.03492626035770162, -0.017922443052709094, -0.02655223362230158]"
evolution_strategy,sphere,110,20000,0.007088375183284973,"[0.02428735259368371, -0.011096929575687812, 0.020652459041444415, 0.034607031007091935, 0.0020302329039282342, 0.0134695688847477, -0.025230529254438982, 0.04786798780617474, 0.03921461342034489, 0.009996313386417849]"
evolution_strategy,sphere,111,20000,0.009230494474570437,"[0.0030182722828709357, 0.008362274059582293, -0.03282761815718788, -0.06365072066681986, 0.025627436994449193, -0.02064359113324304, 0.028715630194911544, 0.002649269062296053, -0.010756435307539784, 0.044633617351812885]"
evolution_strategy,sphere,112,20000,0.00707362800105127,"[0.024674996372982587, 0.014255155136992527, 0.019514372590815465, 0.014108256704938316, -0.02979959107826038, 0.009056620385296511, -0.00013796518940312197, 0.06203260585268068, 0.010641678132166339, 0.027392753133414383]"
evolution_strategy,sphere,113,20000,0.005435740308998955,"[0.0036680193321014104, 0.009111057342842989, 0.02979696146204646, 0.017238873941575285, -0.009078654307325726, 0.01038313828596904, 0.02449224459112917, -0.04891841997229427, 0.02244694071015256, -0.021616159707253006]"
evolution_strategy,sphere,114,20000,0.008426187891836745,"[0.013165425010068534, 0.007425755074442937, 0.00375926550020937, -0.005117036270398112, 0.012966866685603422, -0.002623091007806399, 0.00437140621088516, 0.021970610718676002, -0.04726380435122425, 0.07243408819734905]"
evolution_strategy,sphere,115,20000,0.007457790668251292,"[0.0011084108262189724, 0.05440898492786159, -0.008430881292233516, -0.0038951120529033614, 0.008808966120588128, -0.027932096389046566, 0.02077289273022677, -0.02033289406250701, -0.04466709803504244, -0.026684894650935872]"
evolution_strategy,sphere,116,20000,0.006048309901813607,"[0.02929166271541349, 0.014647850487451217, -0.01322460337609739, 0.016233704950863632, -0.05815226578262899, -0.01278839430004837, -0.01934498751401103, -0.024425653884864167, 0.002111968663936363, 0.004098169921520272]"
evolution_strategy,sphere,117,20000,0.00798745891991434,"[-0.019172191940320684, 0.0359778938718313, 0.040812517178207, -0.006231584750963026, 0.025752768258199304, -0.013253210958325351, 0.043350581847099674, -0.03175890616123654, 0.010469205833274375, -0.028011156888801222]"
evolution_strategy,sphere,118,20000,0.006341245693229714,"[-0.007154788371934096, -0.007728658458515988, -0.02010063403367176, -0.04945541656720308, -0.03478365559126327, 0.029293679956846872, -0.015519846933596634, 0.009508421299996316, 0.021990213103078436, 0.022306529092126437]"
evolution_strategy,sphere,119,20000,0.008586762796460656,"[0.013233898941969365, 0.0192289932344268, -0.0075219847435417375, -0.029545588406485926, 0.02160588046997694, 0.058683878674076276, -0.029168672638654244, 0.010893108199923986, 0.01926701023377298, -0.04313988694301411]"
