algorithm,benchmark,seed,evaluations,best_value
genetic_algorithm,rosenbrock,100,100,168091.983887476
genetic_algorithm,rosenbrock,100,200,146353.07916508373
genetic_algorithm,rosenbrock,100,300,44292.11076337093
genetic_algorithm,rosenbrock,100,400,23509.72266090212
genetic_algorithm,rosenbrock,100,500,11818.00502300002
genetic_algorithm,rosenbrock,100,600,5816.765308662011
genetic_algorithm,rosenbrock,100,700,4205.591788395643
genetic_algorithm,rosenbrock,100,800,2764.771419011334
genetic_algorithm,rosenbrock,100,900,2061.3831727076545
genetic_algorithm,rosenbrock,100,1000,787.5508670178116
genetic_algorithm,rosenbrock,100,1100,625.980868307407
genetic_algorithm,rosenbrock,100,1200,316.14251283390735
genetic_algorithm,rosenbrock,100,1300,257.35859763342245
genetic_algorithm,rosenbrock,100,1400,136.48557811614654
genetic_algorithm,rosenbrock,100,1500,128.33431372350057
genetic_algorithm,rosenbrock,100,1600,87.5622694653852
genetic_algorithm,rosenbrock,100,1700,87.06361852140921
genetic_algorithm,rosenbrock,100,1800,54.85071576417189
genetic_algorithm,rosenbrock,100,1900,39.61933886441014
genetic_algorithm,rosenbrock,100,2000,36.56025873313501
genetic_algorithm,rosenbrock,100,2100,34.56813418381798
genetic_algorithm,rosenbrock,100,2200,31.78470613548994
genetic_algorithm,rosenbrock,100,2300,28.585429284859583
genetic_algorithm,rosenbrock,100,2400,19.93932396025964
genetic_algorithm,rosenbrock,100,2500,19.412862641174595
genetic_algorithm,rosenbrock,100,2600,19.21908597905104
genetic_algorithm,rosenbrock,100,2700,18.10921447886829
genetic_algorithm,rosenbrock,100,2800,10.280703711183627
genetic_algorithm,rosenbrock,100,2900,10.092347834399899
genetic_algorithm,rosenbrock,100,3000,6.647562516396504
genetic_algorithm,rosenbrock,100,3100,6.262957700862151
genetic_algorithm,rosenbrock,100,3200,4.786345450661006
genetic_algorithm,rosenbrock,100,3300,4.785780363247577
genetic_algorithm,rosenbrock,100,3400,4.32012438389356
genetic_algorithm,rosenbrock,100,3500,2.534010895349498
genetic_algorithm,rosenbrock,100,3600,2.5162293977850063
genetic_algorithm,rosenbrock,100,3700,2.5159877786843574
genetic_algorithm,rosenbrock,100,3800,2.17566131760383
genetic_algorithm,rosenbrock,100,3900,2.09031190795472
genetic_algorithm,rosenbrock,100,4000,2.0614509429098713
genetic_algorithm,rosenbrock,100,4100,2.0614509429098713
genetic_algorithm,rosenbrock,100,4200,1.9540438498262536
genetic_algorithm,rosenbrock,100,4300,1.9439856916952245
genetic_algorithm,rosenbrock,100,4400,1.3809232106744498
genetic_algorithm,rosenbrock,100,4500,1.377667680481962
genetic_algorithm,rosenbrock,100,4600,1.3755118731626446
genetic_algorithm,rosenbrock,100,4700,1.3751773769945375
genetic_algorithm,rosenbrock,100,4800,1.3254235828939536
genetic_algorithm,rosenbrock,100,4900,1.3254235828939536
genetic_algorithm,rosenbrock,100,5000,0.9407842015964615
genetic_algorithm,rosenbrock,100,5100,0.938191609287239
genetic_algorithm,rosenbrock,100,5200,0.938191609287239
genetic_algorithm,rosenbrock,100,5300,0.8223252014962044
genetic_algorithm,rosenbrock,100,5400,0.814655288527796
genetic_algorithm,rosenbrock,100,5500,0.8039333296361688
genetic_algorithm,rosenbrock,100,5600,0.7962173381791353
genetic_algorithm,rosenbrock,100,5700,0.7048073522477705
genetic_algorithm,rosenbrock,100,5800,0.5938062399317577
genetic_algorithm,rosenbrock,100,5900,0.5619382973312598
genetic_algorithm,rosenbrock,100,6000,0.5611537066042603
genetic_algorithm,rosenbrock,100,6100,0.5611537066042603
genetic_algorithm,rosenbrock,100,6200,0.5576946764099823
genetic_algorithm,rosenbrock,100,6300,0.5325089522995294
genetic_algorithm,rosenbrock,100,6400,0.4702351025678885
genetic_algorithm,rosenbrock,100,6500,0.4605507741105562
genetic_algorithm,rosenbrock,100,6600,0.43452669680755895
genetic_algorithm,rosenbrock,100,6700,0.43452669680755895
genetic_algorithm,rosenbrock,100,6800,0.42174522867266684
genetic_algorithm,rosenbrock,100,6900,0.4202342677181
genetic_algorithm,rosenbrock,100,7000,0.4202342677181
genetic_algorithm,rosenbrock,100,7100,0.41821136853664315
genetic_algorithm,rosenbrock,100,7200,0.4018467508616254
genetic_algorithm,rosenbrock,100,7300,0.4018467508616254
genetic_algorithm,rosenbrock,100,7400,0.38332020043840764
genetic_algorithm,rosenbrock,100,7500,0.3827144881704071
genetic_algorithm,rosenbrock,100,7600,0.3826666991295252
genetic_algorithm,rosenbrock,100,7700,0.38019955266217825
genetic_algorithm,rosenbrock,100,7800,0.37997468190762035
genetic_algorithm,rosenbrock,100,7900,0.3688188463079205
genetic_algorithm,rosenbrock,100,8000,0.3688188463079205
genetic_algorithm,rosenbrock,100,8100,0.3688188463079205
genetic_algorithm,rosenbrock,100,8200,0.36868320954415906
genetic_algorithm,rosenbrock,100,8300,0.3579854305493091
genetic_algorithm,rosenbrock,100,8400,0.35793134507276936
genetic_algorithm,rosenbrock,100,8500,0.35744041511205704
genetic_algorithm,rosenbrock,100,8600,0.35744041511205704
genetic_algorithm,rosenbrock,100,8700,0.35744041511205704
genetic_algorithm,rosenbrock,100,8800,0.35744041511205704
genetic_algorithm,rosenbrock,100,8900,0.3550742192577495
genetic_algorithm,rosenbrock,100,9000,0.3392285405860572
genetic_algorithm,rosenbrock,100,9100,0.3392285405860572
genetic_algorithm,rosenbrock,100,9200,0.3121724217755517
genetic_algorithm,rosenbrock,100,9300,0.28753580479022833
genetic_algorithm,rosenbrock,100,9400,0.28185200047716585
genetic_algorithm,rosenbrock,100,9500,0.2800016071937489
genetic_algorithm,rosenbrock,100,9600,0.26721865470005396
genetic_algorithm,rosenbrock,100,9700,0.2665790520276655
genetic_algorithm,rosenbrock,100,9800,0.2664496292775361
genetic_algorithm,rosenbrock,100,9900,0.26615456535183507
genetic_algorithm,rosenbrock,100,10000,0.26615456535183507
genetic_algorithm,rosenbrock,100,10100,0.2655635391139618
genetic_algorithm,rosenbrock,100,10200,0.2632452229825695
genetic_algorithm,rosenbrock,100,10300,0.2631864951770747
genetic_algorithm,rosenbrock,100,10400,0.2561954142812717
genetic_algorithm,rosenbrock,100,10500,0.24733339606445526
genetic_algorithm,rosenbrock,100,10600,0.2472144138540089
genetic_algorithm,rosenbrock,100,10700,0.2472144138540089
genetic_algorithm,rosenbrock,100,10800,0.2472144138540089
genetic_algorithm,rosenbrock,100,10900,0.2465268121226067
genetic_algorithm,rosenbrock,100,11000,0.2465268121226067
genetic_algorithm,rosenbrock,100,11100,0.24536588339757118
genetic_algorithm,rosenbrock,100,11200,0.24509831626927886
genetic_algorithm,rosenbrock,100,11300,0.24456896226307642
genetic_algorithm,rosenbrock,100,11400,0.2417541003960543
genetic_algorithm,rosenbrock,100,11500,0.24160886630725714
genetic_algorithm,rosenbrock,100,11600,0.24128654150001347
genetic_algorithm,rosenbrock,100,11700,0.24104928145761328
genetic_algorithm,rosenbrock,100,11800,0.24017712045057404
genetic_algorithm,rosenbrock,100,11900,0.24017712045057404
genetic_algorithm,rosenbrock,100,12000,0.23773162679766524
genetic_algorithm,rosenbrock,100,12100,0.2225907056840203
genetic_algorithm,rosenbrock,100,12200,0.22235951953312735
genetic_algorithm,rosenbrock,100,12300,0.22235888312041455
genetic_algorithm,rosenbrock,100,12400,0.22233621123801353
genetic_algorithm,rosenbrock,100,12500,0.22233621123801353
genetic_algorithm,rosenbrock,100,12600,0.22233621123801353
genetic_algorithm,rosenbrock,100,12700,0.22233621123801353
genetic_algorithm,rosenbrock,100,12800,0.21570788362468307
genetic_algorithm,rosenbrock,100,12900,0.21470761289371348
genetic_algorithm,rosenbrock,100,13000,0.21470761289371348
genetic_algorithm,rosenbrock,100,13100,0.21470761289371348
genetic_algorithm,rosenbrock,100,13200,0.2147076128937133
genetic_algorithm,rosenbrock,100,13300,0.21452673070968425
genetic_algorithm,rosenbrock,100,13400,0.21260263618140407
genetic_algorithm,rosenbrock,100,13500,0.209049892426449
genetic_algorithm,rosenbrock,100,13600,0.206790358972278
genetic_algorithm,rosenbrock,100,13700,0.206384885729564
genetic_algorithm,rosenbrock,100,13800,0.20520855023098378
genetic_algorithm,rosenbrock,100,13900,0.20461906586332906
genetic_algorithm,rosenbrock,100,14000,0.20306797286740993
genetic_algorithm,rosenbrock,100,14100,0.2030519469208208
genetic_algorithm,rosenbrock,100,14200,0.2030519469208208
genetic_algorithm,rosenbrock,100,14300,0.2030519469208208
genetic_algorithm,rosenbrock,100,14400,0.20036548853615027
genetic_algorithm,rosenbrock,100,14500,0.20036548853615027
genetic_algorithm,rosenbrock,100,14600,0.200356757099945
genetic_algorithm,rosenbrock,100,14700,0.19949381114155373
genetic_algorithm,rosenbrock,100,14800,0.19730133446631928
genetic_algorithm,rosenbrock,100,14900,0.19573316600891602
genetic_algorithm,rosenbrock,100,15000,0.19543748889656637
genetic_algorithm,rosenbrock,100,15100,0.1954363707294346
genetic_algorithm,rosenbrock,100,15200,0.1954277824130297
genetic_algorithm,rosenbrock,100,15300,0.1953895222701502
genetic_algorithm,rosenbrock,100,15400,0.19534564016379494
genetic_algorithm,rosenbrock,100,15500,0.19457591144430214
genetic_algorithm,rosenbrock,100,15600,0.19432291106728128
genetic_algorithm,rosenbrock,100,15700,0.19432204607481424
genetic_algorithm,rosenbrock,100,15800,0.19336772349881534
genetic_algorithm,rosenbrock,100,15900,0.19336772349881534
genetic_algorithm,rosenbrock,100,16000,0.19336772349881534
genetic_algorithm,rosenbrock,100,16100,0.1933671409162555
genetic_algorithm,rosenbrock,100,16200,0.1929710878483545
genetic_algorithm,rosenbrock,100,16300,0.1929710878483545
genetic_algorithm,rosenbrock,100,16400,0.19253221255225625
genetic_algorithm,rosenbrock,100,16500,0.19253221255225625
genetic_algorithm,rosenbrock,100,16600,0.1911598585496596
genetic_algorithm,rosenbrock,100,16700,0.1911399403822418
genetic_algorithm,rosenbrock,100,16800,0.1911331700940316
genetic_algorithm,rosenbrock,100,16900,0.19073159959974936
genetic_algorithm,rosenbrock,100,17000,0.19073077937303157
genetic_algorithm,rosenbrock,100,17100,0.19072983326881843
genetic_algorithm,rosenbrock,100,17200,0.18912320515347786
genetic_algorithm,rosenbrock,100,17300,0.18912320515347786
genetic_algorithm,rosenbrock,100,17400,0.18912320515347786
genetic_algorithm,rosenbrock,100,17500,0.18912320515347786
genetic_algorithm,rosenbrock,100,17600,0.18829944795787248
genetic_algorithm,rosenbrock,100,17700,0.18815060240300657
genetic_algorithm,rosenbrock,100,17800,0.1881226235553619
genetic_algorithm,rosenbrock,100,17900,0.18807932154147974
genetic_algorithm,rosenbrock,100,18000,0.18807932154147974
genetic_algorithm,rosenbrock,100,18100,0.1875942462457144
genetic_algorithm,rosenbrock,100,18200,0.1875936591351754
genetic_algorithm,rosenbrock,100,18300,0.1875936591351754
genetic_algorithm,rosenbrock,100,18400,0.1875936591351754
genetic_algorithm,rosenbrock,100,18500,0.1875936591351754
genetic_algorithm,rosenbrock,100,18600,0.18731820604590982
genetic_algorithm,rosenbrock,100,18700,0.1873160815318357
genetic_algorithm,rosenbrock,100,18800,0.1873160815318357
genetic_algorithm,rosenbrock,100,18900,0.1873160815318357
genetic_algorithm,rosenbrock,100,19000,0.18731065292567387
genetic_algorithm,rosenbrock,100,19100,0.1872875970549958
genetic_algorithm,rosenbrock,100,19200,0.18710023637432155
genetic_algorithm,rosenbrock,100,19300,0.18683511343081355
genetic_algorithm,rosenbrock,100,19400,0.18683511343081355
genetic_algorithm,rosenbrock,100,19500,0.18683322196341845
genetic_algorithm,rosenbrock,100,19600,0.18682411591451084
genetic_algorithm,rosenbrock,100,19700,0.18680812270796499
genetic_algorithm,rosenbrock,100,19800,0.1866474839338188
genetic_algorithm,rosenbrock,100,19900,0.1866474839338188
genetic_algorithm,rosenbrock,100,20000,0.1860517742360033
genetic_algorithm,rosenbrock,101,100,65146.42579563267
genetic_algorithm,rosenbrock,101,200,36471.993607888995
genetic_algorithm,rosenbrock,101,300,24765.096125652417
genetic_algorithm,rosenbrock,101,400,18195.09264818097
genetic_algorithm,rosenbrock,101,500,9703.371930082014
genetic_algorithm,rosenbrock,101,600,8469.194647630586
genetic_algorithm,rosenbrock,101,700,4249.3271914367515
genetic_algorithm,rosenbrock,101,800,3702.53108879728
genetic_algorithm,rosenbrock,101,900,2268.7711170130506
genetic_algorithm,rosenbrock,101,1000,1665.8608313805826
genetic_algorithm,rosenbrock,101,1100,1086.2733899699697
genetic_algorithm,rosenbrock,101,1200,880.5601212766918
genetic_algorithm,rosenbrock,101,1300,508.97356646170635
genetic_algorithm,rosenbrock,101,1400,356.3562186897486
genetic_algorithm,rosenbrock,101,1500,296.6324925579364
genetic_algorithm,rosenbrock,101,1600,164.69408246100738
genetic_algorithm,rosenbrock,101,1700,95.90526320626876
