algorithm,benchmark,seed,evaluations,best_value,best_candidate
genetic_algorithm,sphere,100,20000,5.317119892993264e-08,"[-0.00014712696819419366, -1.600662711674805e-05, 9.180517888408217e-06, -2.3196781098075674e-05, 2.5091968100530883e-05, 1.5763699197306828e-05, -1.4095173376572767e-05, 0.00015056837068834733, -7.812121152905773e-05, -2.8208802804853372e-05]"
genetic_algorithm,sphere,101,20000,3.7684128562172984e-08,"[-9.409229993068609e-05, 3.5682835854103395e-05, -1.4466827790148284e-05, -8.841253577997202e-05, 1.4236051991386454e-05, -6.50583507538984e-05, 2.89764792108412e-05, 0.00011434396711465693, 2.048365274730353e-06, 3.4319209629444616e-05]"
genetic_algorithm,sphere,102,20000,5.083664518477444e-07,"[-1.26670859647265e-05, -4.8620300335699926e-05, 0.0005761063988038333, -0.00021716987564355045, -0.00010768208618542119, 7.333455854529395e-05, 4.133858810189653e-05, 2.3890796585242427e-05, 0.00023448867302208935, -0.0002292220529982719]"
genetic_algorithm,sphere,103,20000,8.811388054833229e-07,"[8.305449437869096e-05, 0.00020711114813905875, -8.586903876475977e-06, -4.2148820069885826e-06, 0.0003402603041766865, 0.000139023607020004, -0.0002957555829347085, 0.0005526937763665808, -0.00046739670346469293, 0.0002911153328605349]"
genetic_algorithm,sphere,104,20000,2.0047835650462906e-07,"[-4.8316926448229394e-05, -7.793044679316388e-05, -0.00025133126147079736, 0.00014404828186690072, 0.00029287628722915986, 1.6974651011550434e-05, -6.130820367156247e-05, -3.5787301001931924e-05, -0.00012422379625444147, 4.02210067021199e-05]"
genetic_algorithm,sphere,105,20000,2.7851785906852285e-07,"[-0.00010756062361976495, 0.00025351412175392935, -0.00012325194450498472, -4.1500594516877926e-05, 0.0002453657838139123, 9.143748926454461e-05, -1.554479418770738e-05, -0.00013937240510306564, -6.676466242159159e-05, 0.00030508492232234335]"
genetic_algorithm,sphere,106,20000,8.270007979125928e-08,"[0.0001287085121598805, -0.00014018454330485855, 2.7843305727276687e-05, 1.0560416003477975e-05, -2.9222076755394123e-06, -0.00011544118503621786, -5.6887696016820526e-05, -3.50759638998224e-05, 0.00012339244625463012, 0.00011210836254578614]"
genetic_algorithm,sphere,107,20000,2.079262024676361e-07,"[0.00024772477569548647, -5.574700255421402e-05, 0.00010843914099357346, 0.00023202042355082976, 9.479184408578271e-05, 5.8368822511586266e-05, 8.135405491831106e-05, -2.7011190056264247e-05, 0.00021244521369657063, 0.00011395137922502635]"
genetic_algorithm,sphere,108,20000,9.718765297722876e-07,"[-0.00012241318202516868, 3.3830999197510925e-05, -3.10214582388779e-05, -0.00025754507319954286, 8.636486596193966e-05, -0.00019160379866609562, 0.0008686217169216766, 7.72335042975948e-06, 0.00029234079954989226, 6.52520073579368e-05]"
genetic_algorithm,sphere,109,20000,7.606139949877662e-07,"[0.00015174996632574508, 8.258572619268596e-05, -0.00036346588834346356, 6.812174258504892e-05, 0.0006793577773991933, 8.642753078117634e-05, 0.00028016259456655526, 0.00010931188064387592, 0.00014832534068925403, -0.00011216164946428862]"
genetic_algorithm,sphere,110,20000,3.4122196968615765e-07,"[0.00029559970811233267, -1.6596471131936522e-05, 0.0001093722227553813, -4.6319315625134754e-05, -2.6612741006799207e-05, 3.064117779342195e-05, 0.0001316888613015665, 0.0001228750255680824, 0.0003328100417369233, 0.0003075869073041614]"
genetic_algorithm,sphere,111,20000,5.391533411963662e-07,"[-0.0006001708191475775, -0.00013721441535812415, -1.2003761404674336e-05, 1.4258214165852409e-05, -0.00019524844667713283, -0.00022119725628130365, 8.062556778061481e-05, 2.1755834743079845e-06, 0.00017925267792753667, -0.0001846245549626519]"
