algorithm,benchmark,seed,evaluations,best_value,best_candidate
hill_climbing,rastrigin,100,20000,76.5436424052657,"[0.8869594997778455, 4.043037442455534, 1.1175872294928408, 1.0593898778020614, 1.8053310257557973, 0.9827546752038604, -2.1023974531446137, 2.253494653437403, 1.9800794751577624, -1.7279019377711289]"
hill_climbing,rastrigin,101,20000,68.92336183741509,"[2.898159864905074, 2.1574299136853985, -2.0323664834744535, 2.1526798402707037, 3.062184626107643, 3.009114299827388, -0.14020342724530566, -2.087688135086511, 2.1188426414244588, 0.039618332158910335]"
hill_climbing,rastrigin,102,20000,63.30780473031399,"[-2.625749920527513, -1.890091647465744, -0.9230619909479774, 1.8644268776467101, -0.955430179623872, -1.0981737199505723, 2.9580956294132665, -0.07540474866238364, 1.2113554210198296, -0.9870113966853389]"
hill_climbing,rastrigin,103,20000,66.33938420609152,"[-0.9324655799386483, 2.8741456695402636, 1.987242552500902, 1.064258564463872, -0.18043704273088568, -2.0439730439408885, -0.024935527689683157, -2.205385644983393, -0.1870955489356973, 3.222654493437455]"
hill_climbing,rastrigin,104,20000,60.89805632767977,"[-1.0372560163725177, 0.010238563909142613, -0.05448809329438859, 2.1154657805986723, -2.018999539956989, -2.4016464670489395, -3.9712548958883236, 0.9791064035634679, -1.0451154035542254, 2.075632420014084]"
hill_climbing,rastrigin,105,20000,71.91099463374593,"[-1.0650318884171732, 1.1083559404150412, 3.139603908204637, 0.8885172022296027, -0.2581274182459678, 0.7671609908674726, -1.0910134079208471, 4.0300630257326455, -0.056237401987696445, -0.24864656815252315]"
hill_climbing,rastrigin,106,20000,70.3666445551419,"[0.17737554030374125, 0.7174728325834698, 1.0154132217017469, 0.059823812262960616, -1.7860157430716361, -2.9138875046092028, -2.050359695038589, 0.9674555076223492, -2.1295618401413643, -3.955105217081068]"
hill_climbing,rastrigin,107,20000,73.34818625768736,"[-1.084145278547359, -2.160744280974021, -2.0874705961805025, -0.7575031606351215, 1.584734477569244, -1.9111637086296103, 2.082157397970928, 1.2130585695997027, 1.0916585364813853, -1.050956718333765]"
hill_climbing,rastrigin,108,20000,72.04203323880452,"[-0.01929744745009035, 1.4214309182094327, -4.049618186748783, -0.9039997879947429, 1.1177536563607593, 0.2503915583914857, -2.057408610552906, 1.989415876841568, 0.17441756732451882, -0.8817487263299716]"
hill_climbing,rastrigin,109,20000,62.38165075473001,"[0.8835780907749506, -0.936418169321305, 0.8214513564460856, 1.6941734797083154, -1.1326532110722338, 0.12793370362744783, -1.7552586992683257, 0.9810175842966123, -1.0359750138941264, -2.203713504976877]"
hill_climbing,rastrigin,110,20000,57.50795315407868,"[3.0485131618641303, 1.0262359529707865, 0.021861068916016566, -0.018277590006483838, 1.0297222572198472, 0.933721795841543, -1.9794860770335423, -4.153194980496241, 0.959551390622174, 2.2738785684053573]"
hill_climbing,rastrigin,111,20000,54.58655071426876,"[3.286389069732184, 2.000306126127415, -0.9949041281542681, 2.021708322045872, 1.0603291900101206, -1.029870070027846, 1.1077961153628082, -1.8329413461544126, -1.0332898134588164, -1.881873893510012]"
hill_climbing,rastrigin,112,20000,69.64644821335513,"[-2.001137783183024, -1.8999590695746962, 1.0610224558445245, -0.1294478495130022, -2.1487963365095473, 3.0657737831058194, 1.1925693824017949, -2.084050568762057, 1.2387475200572668, 0.2772073822265455]"
hill_climbing,rastrigin,113,20000,57.76949662291524,"[1.0252460308685387, -0.4976153150152902, -2.808136627564973, -1.9623263196937017, 0.18106872677664365, 1.9641103027262234, 0.04757768927544029, -0.15428550442068634, 0.9281815180573272, 1.0330704926127265]"
hill_climbing,rastrigin,114,20000,64.65652087355792,"[1.1351704449032707, -0.08155289998450257, 1.1336705204408464, 2.857351457049717, -2.0023637475121827, 2.7341080241919644, -1.0493510492854308, 0.09348314088299503, -1.2595890685703262, 1.9550254780152045]"
hill_climbing,rastrigin,115,20000,65.94397893787715,"[-2.0133609530933128, -1.844417776149168, 1.8501541361547698, -0.23391124308629985, 2.077653287212157, 0.02032196391029195, -1.0073655246614988, -0.8186634760183635, -0.7461742534645902, -0.306744146944552]"
hill_climbing,rastrigin,116,20000,76.31231485092191,"[-2.0365946755149156, 3.1851052210831954, -2.0602827108785404, 0.0138847081001795, 0.9321006956666905, 5.039004833607965, -1.8891130904934406, 0.8958437688145621, 0.9795915556145833, 3.139628976136681]"
hill_climbing,rastrigin,117,20000,72.64584031357697,"[2.3979630708276667, -0.9369715107343781, 0.09347978205691079, -0.24583866461802045, -1.037758940315006, 1.884752179489189, -3.0680094241397775, 0.6919476248702097, 1.0638059546191139, -0.10331909779088536]"
hill_climbing,rastrigin,118,20000,71.08502058221693,"[2.1773778436049422, 2.1838191440309296, 2.142126244808672, 1.7739013860568094, 1.1191229804739937, -3.0509629044637387, 0.8423760544939551, 1.7871718566203063, -0.006452047703784224, -0.031532697998214704]"
hill_climbing,rastrigin,119,20000,66.89091876858191,"[-1.730381818117287, -0.9478708072483505, 0.9720705018565627, 1.0144919613120476, -1.8953951240744358, -2.7737726615010376, -0.1667192327730686, -0.7482995263497889, -0.7512966375789369, 1.0024432547832338]"
