algorithm,benchmark,seed,evaluations,best_value
hill_climbing,rosenbrock,100,100,218752.9286195741
hill_climbing,rosenbrock,100,200,30551.43732466552
hill_climbing,rosenbrock,100,300,30551.43732466552
hill_climbing,rosenbrock,100,400,30551.43732466552
hill_climbing,rosenbrock,100,500,30551.43732466552
hill_climbing,rosenbrock,100,600,23644.353949309123
hill_climbing,rosenbrock,100,700,23644.353949309123
hill_climbing,rosenbrock,100,800,23644.353949309123
hill_climbing,rosenbrock,100,900,23644.353949309123
hill_climbing,rosenbrock,100,1000,23644.353949309123
hill_climbing,rosenbrock,100,1100,23644.353949309123
hill_climbing,rosenbrock,100,1200,23644.353949309123
hill_climbing,rosenbrock,100,1300,23644.353949309123
hill_climbing,rosenbrock,100,1400,23644.353949309123
hill_climbing,rosenbrock,100,1500,1993.6854573449932
hill_climbing,rosenbrock,100,1600,1993.6854573449932
hill_climbing,rosenbrock,100,1700,1993.6854573449932
hill_climbing,rosenbrock,100,1800,1993.6854573449932
hill_climbing,rosenbrock,100,1900,1993.6854573449932
hill_climbing,rosenbrock,100,2000,1993.6854573449932
hill_climbing,rosenbrock,100,2100,1993.6854573449932
hill_climbing,rosenbrock,100,2200,1993.6854573449932
hill_climbing,rosenbrock,100,2300,1993.6854573449932
hill_climbing,rosenbrock,100,2400,1993.6854573449932
hill_climbing,rosenbrock,100,2500,1993.6854573449932
hill_climbing,rosenbrock,100,2600,1993.6854573449932
hill_climbing,rosenbrock,100,2700,1993.6854573449932
hill_climbing,rosenbrock,100,2800,1993.6854573449932
hill_climbing,rosenbrock,100,2900,1993.6854573449932
hill_climbing,rosenbrock,100,3000,1993.6854573449932
hill_climbing,rosenbrock,100,3100,1993.6854573449932
hill_climbing,rosenbrock,100,3200,1993.6854573449932
hill_climbing,rosenbrock,100,3300,1993.6854573449932
hill_climbing,rosenbrock,100,3400,1993.6854573449932
hill_climbing,rosenbrock,100,3500,1993.6854573449932
hill_climbing,rosenbrock,100,3600,1993.6854573449932
hill_climbing,rosenbrock,100,3700,1993.6854573449932
hill_climbing,rosenbrock,100,3800,1993.6854573449932
hill_climbing,rosenbrock,100,3900,1993.6854573449932
hill_climbing,rosenbrock,100,4000,1993.6854573449932
hill_climbing,rosenbrock,100,4100,1993.6854573449932
hill_climbing,rosenbrock,100,4200,1993.6854573449932
hill_climbing,rosenbrock,100,4300,1993.6854573449932
hill_climbing,rosenbrock,100,4400,1993.6854573449932
hill_climbing,rosenbrock,100,4500,1993.6854573449932
hill_climbing,rosenbrock,100,4600,1993.6854573449932
hill_climbing,rosenbrock,100,4700,1993.6854573449932
hill_climbing,rosenbrock,100,4800,1993.6854573449932
hill_climbing,rosenbrock,100,4900,1993.6854573449932
hill_climbing,rosenbrock,100,5000,1993.6854573449932
hill_climbing,rosenbrock,100,5100,1993.6854573449932
hill_climbing,rosenbrock,100,5200,1993.6854573449932
hill_climbing,rosenbrock,100,5300,1993.6854573449932
hill_climbing,rosenbrock,100,5400,1993.6854573449932
hill_climbing,rosenbrock,100,5500,1993.6854573449932
hill_climbing,rosenbrock,100,5600,1993.6854573449932
hill_climbing,rosenbrock,100,5700,1993.6854573449932
hill_climbing,rosenbrock,100,5800,1993.6854573449932
hill_climbing,rosenbrock,100,5900,1993.6854573449932
hill_climbing,rosenbrock,100,6000,1993.6854573449932
hill_climbing,rosenbrock,100,6100,1993.6854573449932
hill_climbing,rosenbrock,100,6200,1993.6854573449932
hill_climbing,rosenbrock,100,6300,1993.6854573449932
hill_climbing,rosenbrock,100,6400,1993.6854573449932
hill_climbing,rosenbrock,100,6500,1993.6854573449932
hill_climbing,rosenbrock,100,6600,1993.6854573449932
hill_climbing,rosenbrock,100,6700,1993.6854573449932
hill_climbing,rosenbrock,100,6800,1993.6854573449932
hill_climbing,rosenbrock,100,6900,1993.6854573449932
hill_climbing,rosenbrock,100,7000,1993.6854573449932
hill_climbing,rosenbrock,100,7100,1993.6854573449932
hill_climbing,rosenbrock,100,7200,1993.6854573449932
hill_climbing,rosenbrock,100,7300,1993.6854573449932
hill_climbing,rosenbrock,100,7400,1993.6854573449932
hill_climbing,rosenbrock,100,7500,1993.6854573449932
hill_climbing,rosenbrock,100,7600,1993.6854573449932
hill_climbing,rosenbrock,100,7700,1993.6854573449932
hill_climbing,rosenbrock,100,7800,1993.6854573449932
hill_climbing,rosenbrock,100,7900,1993.6854573449932
hill_climbing,rosenbrock,100,8000,1993.6854573449932
hill_climbing,rosenbrock,100,8100,1993.6854573449932
hill_climbing,rosenbrock,100,8200,1993.6854573449932
hill_climbing,rosenbrock,100,8300,1993.6854573449932
hill_climbing,rosenbrock,100,8400,1993.6854573449932
hill_climbing,rosenbrock,100,8500,1993.6854573449932
hill_climbing,rosenbrock,100,8600,1993.6854573449932
hill_climbing,rosenbrock,100,8700,1993.6854573449932
hill_climbing,rosenbrock,100,8800,1993.6854573449932
hill_climbing,rosenbrock,100,8900,1993.6854573449932
hill_climbing,rosenbrock,100,9000,1993.6854573449932
hill_climbing,rosenbrock,100,9100,1993.6854573449932
hill_climbing,rosenbrock,100,9200,1993.6854573449932
hill_climbing,rosenbrock,100,9300,1993.6854573449932
hill_climbing,rosenbrock,100,9400,1993.6854573449932
hill_climbing,rosenbrock,100,9500,1993.6854573449932
hill_climbing,rosenbrock,100,9600,1993.6854573449932
hill_climbing,rosenbrock,100,9700,1993.6854573449932
hill_climbing,rosenbrock,100,9800,1993.6854573449932
hill_climbing,rosenbrock,100,9900,1993.6854573449932
hill_climbing,rosenbrock,100,10000,1993.6854573449932
hill_climbing,rosenbrock,100,10100,1993.6854573449932
hill_climbing,rosenbrock,100,10200,1993.6854573449932
hill_climbing,rosenbrock,100,10300,1993.6854573449932
hill_climbing,rosenbrock,100,10400,1993.6854573449932
hill_climbing,rosenbrock,100,10500,1993.6854573449932
hill_climbing,rosenbrock,100,10600,1993.6854573449932
hill_climbing,rosenbrock,100,10700,1993.6854573449932
hill_climbing,rosenbrock,100,10800,1993.6854573449932
hill_climbing,rosenbrock,100,10900,1993.6854573449932
hill_climbing,rosenbrock,100,11000,1993.6854573449932
hill_climbing,rosenbrock,100,11100,1993.6854573449932
hill_climbing,rosenbrock,100,11200,1993.6854573449932
hill_climbing,rosenbrock,100,11300,1993.6854573449932
hill_climbing,rosenbrock,100,11400,1993.6854573449932
hill_climbing,rosenbrock,100,11500,1993.6854573449932
hill_climbing,rosenbrock,100,11600,1993.6854573449932
hill_climbing,rosenbrock,100,11700,1993.6854573449932
hill_climbing,rosenbrock,100,11800,1993.6854573449932
hill_climbing,rosenbrock,100,11900,1993.6854573449932
hill_climbing,rosenbrock,100,12000,1993.6854573449932
hill_climbing,rosenbrock,100,12100,1993.6854573449932
hill_climbing,rosenbrock,100,12200,1993.6854573449932
hill_climbing,rosenbrock,100,12300,1993.6854573449932
hill_climbing,rosenbrock,100,12400,1993.6854573449932
hill_climbing,rosenbrock,100,12500,1993.6854573449932
hill_climbing,rosenbrock,100,12600,1993.6854573449932
hill_climbing,rosenbrock,100,12700,1993.6854573449932
hill_climbing,rosenbrock,100,12800,1993.6854573449932
hill_climbing,rosenbrock,100,12900,1993.6854573449932
hill_climbing,rosenbrock,100,13000,1993.6854573449932
hill_climbing,rosenbrock,100,13100,1993.6854573449932
hill_climbing,rosenbrock,100,13200,1993.6854573449932
hill_climbing,rosenbrock,100,13300,1993.6854573449932
hill_climbing,rosenbrock,100,13400,1993.6854573449932
hill_climbing,rosenbrock,100,13500,1993.6854573449932
hill_climbing,rosenbrock,100,13600,1993.6854573449932
hill_climbing,rosenbrock,100,13700,1993.6854573449932
hill_climbing,rosenbrock,100,13800,1993.6854573449932
hill_climbing,rosenbrock,100,13900,1993.6854573449932
hill_climbing,rosenbrock,100,14000,1993.6854573449932
hill_climbing,rosenbrock,100,14100,1993.6854573449932
hill_climbing,rosenbrock,100,14200,1993.6854573449932
hill_climbing,rosenbrock,100,14300,1993.6854573449932
hill_climbing,rosenbrock,100,14400,1993.6854573449932
hill_climbing,rosenbrock,100,14500,1993.6854573449932
hill_climbing,rosenbrock,100,14600,1993.6854573449932
hill_climbing,rosenbrock,100,14700,1993.6854573449932
hill_climbing,rosenbrock,100,14800,1993.6854573449932
hill_climbing,rosenbrock,100,14900,1993.6854573449932
hill_climbing,rosenbrock,100,15000,1993.6854573449932
hill_climbing,rosenbrock,100,15100,1993.6854573449932
hill_climbing,rosenbrock,100,15200,1993.6854573449932
hill_climbing,rosenbrock,100,15300,1993.6854573449932
hill_climbing,rosenbrock,100,15400,1993.6854573449932
hill_climbing,rosenbrock,100,15500,1993.6854573449932
hill_climbing,rosenbrock,100,15600,1993.6854573449932
hill_climbing,rosenbrock,100,15700,1993.6854573449932
hill_climbing,rosenbrock,100,15800,1993.6854573449932
hill_climbing,rosenbrock,100,15900,1993.6854573449932
hill_climbing,rosenbrock,100,16000,1993.6854573449932
hill_climbing,rosenbrock,100,16100,1993.6854573449932
hill_climbing,rosenbrock,100,16200,1993.6854573449932
hill_climbing,rosenbrock,100,16300,1993.6854573449932
hill_climbing,rosenbrock,100,16400,1993.6854573449932
hill_climbing,rosenbrock,100,16500,1993.6854573449932
hill_climbing,rosenbrock,100,16600,1993.6854573449932
hill_climbing,rosenbrock,100,16700,1993.6854573449932
hill_climbing,rosenbrock,100,16800,1993.6854573449932
hill_climbing,rosenbrock,100,16900,1993.6854573449932
hill_climbing,rosenbrock,100,17000,1993.6854573449932
hill_climbing,rosenbrock,100,17100,1993.6854573449932
hill_climbing,rosenbrock,100,17200,1993.6854573449932
hill_climbing,rosenbrock,100,17300,1993.6854573449932
hill_climbing,rosenbrock,100,17400,1993.6854573449932
hill_climbing,rosenbrock,100,17500,1993.6854573449932
hill_climbing,rosenbrock,100,17600,1993.6854573449932
hill_climbing,rosenbrock,100,17700,1993.6854573449932
hill_climbing,rosenbrock,100,17800,1993.6854573449932
hill_climbing,rosenbrock,100,17900,1993.6854573449932
hill_climbing,rosenbrock,100,18000,1993.6854573449932
hill_climbing,rosenbrock,100,18100,1993.6854573449932
hill_climbing,rosenbrock,100,18200,1993.6854573449932
hill_climbing,rosenbrock,100,18300,1993.6854573449932
hill_climbing,rosenbrock,100,18400,1993.6854573449932
hill_climbing,rosenbrock,100,18500,1993.6854573449932
hill_climbing,rosenbrock,100,18600,1993.6854573449932
hill_climbing,rosenbrock,100,18700,1993.6854573449932
hill_climbing,rosenbrock,100,18800,1993.6854573449932
hill_climbing,rosenbrock,100,18900,1993.6854573449932
hill_climbing,rosenbrock,100,19000,1993.6854573449932
hill_climbing,rosenbrock,100,19100,1993.6854573449932
hill_climbing,rosenbrock,100,19200,1993.6854573449932
hill_climbing,rosenbrock,100,19300,1993.6854573449932
hill_climbing,rosenbrock,100,19400,1993.6854573449932
hill_climbing,rosenbrock,100,19500,1993.6854573449932
hill_climbing,rosenbrock,100,19600,1993.6854573449932
hill_climbing,rosenbrock,100,19700,1993.6854573449932
hill_climbing,rosenbrock,100,19800,1993.6854573449932
hill_climbing,rosenbrock,100,19900,1993.6854573449932
hill_climbing,rosenbrock,100,20000,1993.6854573449932
hill_climbing,rosenbrock,101,100,131982.67448179287
hill_climbing,rosenbrock,101,200,34885.32078842015
hill_climbing,rosenbrock,101,300,34885.32078842015
hill_climbing,rosenbrock,101,400,34885.32078842015
hill_climbing,rosenbrock,101,500,34885.32078842015
hill_climbing,rosenbrock,101,600,34885.32078842015
hill_climbing,rosenbrock,101,700,34885.32078842015
hill_climbing,rosenbrock,101,800,34885.32078842015
hill_climbing,rosenbrock,101,900,34885.32078842015
hill_climbing,rosenbrock,101,1000,34885.32078842015
hill_climbing,rosenbrock,101,1100,34885.32078842015
hill_climbing,rosenbrock,101,1200,34885.32078842015
hill_climbing,rosenbrock,101,1300,34885.32078842015
hill_climbing,rosenbrock,101,1400,34885.32078842015
hill_climbing,rosenbrock,101,1500,34885.32078842015
hill_climbing,rosenbrock,101,1600,34885.32078842015
hill_climbing,rosenbrock,101,1700,34885.32078842015
hill_climbing,rosenbrock,101,1800,34885.32078842015
hill_climbing,rosenbrock,101,1900,34885.32078842015
hill_climbing,rosenbrock,101,2000,34885.32078842015
hill_climbing,rosenbrock,101,2100,34885.32078842015
hill_climbing,rosenbrock,101,2200,34885.32078842015
hill_climbing,rosenbrock,101,2300,34885.32078842015
hill_climbing,rosenbrock,101,2400,34885.32078842015
hill_climbing,rosenbrock,101,2500,34885.32078842015
hill_climbing,rosenbrock,101,2600,34885.32078842015
hill_climbing,rosenbrock,101,2700,34885.32078842015
hill_climbing,rosenbrock,101,2800,34885.32078842015
hill_climbing,rosenbrock,101,2900,34885.32078842015
hill_climbing,rosenbrock,101,3000,34885.32078842015
hill_climbing,rosenbrock,101,3100,34885.32078842015
hill_climbing,rosenbrock,101,3200,34885.32078842015
hill_climbing,rosenbrock,101,3300,34885.32078842015
hill_climbing,rosenbrock,101,3400,34885.32078842015
hill_climbing,rosenbrock,101,3500,34885.32078842015
hill_climbing,rosenbrock,101,3600,34885.32078842015
hill_climbing,rosenbrock,101,3700,34885.32078842015
hill_climbing,rosenbrock,101,3800,34885.32078842015
hill_climbing,rosenbrock,101,3900,34885.32078842015
hill_climbing,rosenbrock,101,4000,34885.32078842015
hill_climbing,rosenbrock,101,4100,34885.32078842015
hill_climbing,rosenbrock,101,4200,34885.32078842015
hill_climbing,rosenbrock,101,4300,34885.32078842015
hill_climbing,rosenbrock,101,4400,34885.32078842015
hill_climbing,rosenbrock,101,4500,34885.32078842015
hill_climbing,rosenbrock,101,4600,34885.32078842015
hill_climbing,rosenbrock,101,4700,34885.32078842015
hill_climbing,rosenbrock,101,4800,34885.32078842015
hill_climbing,rosenbrock,101,4900,34885.32078842015
hill_climbing,rosenbrock,101,5000,34885.32078842015
hill_climbing,rosenbrock,101,5100,34885.32078842015
hill_climbing,rosenbrock,101,5200,34885.32078842015
hill_climbing,rosenbrock,101,5300,34885.32078842015
hill_climbing,rosenbrock,101,5400,34885.32078842015
hill_climbing,rosenbrock,101,5500,34885.32078842015
hill_climbing,rosenbrock,101,5600,34885.32078842015
hill_climbing,rosenbrock,101,5700,34885.32078842015
hill_climbing,rosenbrock,101,5800,34885.32078842015
hill_climbing,rosenbrock,101,5900,34885.32078842015
hill_climbing,rosenbrock,101,6000,34885.32078842015
hill_climbing,rosenbrock,101,6100,34885.32078842015
hill_climbing,rosenbrock,101,6200,34885.32078842015
hill_climbing,rosenbrock,101,6300,34885.32078842015
hill_climbing,rosenbrock,101,6400,34885.32078842015
hill_climbing,rosenbrock,101,6500,34885.32078842015
hill_climbing,rosenbrock,101,6600,34885.32078842015
hill_climbing,rosenbrock,101,6700,34885.32078842015
hill_climbing,rosenbrock,101,6800,34885.32078842015
hill_climbing,rosenbrock,101,6900,34885.32078842015
hill_climbing,rosenbrock,101,7000,34885.32078842015
hill_climbing,rosenbrock,101,7100,34885.32078842015
hill_climbing,rosenbrock,101,7200,34885.32078842015
hill_climbing,rosenbrock,101,7300,34885.32078842015
hill_climbing,rosenbrock,101,7400,34885.32078842015
hill_climbing,rosenbrock,101,7500,34885.32078842015
hill_climbing,rosenbrock,101,7600,34885.32078842015
hill_climbing,rosenbrock,101,7700,34885.32078842015
hill_climbing,rosenbrock,101,7800,34885.32078842015
hill_climbing,rosenbrock,101,7900,34885.32078842015
hill_climbing,rosenbrock,101,8000,34885.32078842015
hill_climbing,rosenbrock,101,8100,34885.32078842015
hill_climbing,rosenbrock,101,8200,34885.32078842015
hill_climbing,rosenbrock,101,8300,34885.32078842015
hill_climbing,rosenbrock,101,8400,34885.32078842015
hill_climbing,rosenbrock,101,8500,34885.32078842015
hill_climbing,rosenbrock,101,8600,34885.32078842015
hill_climbing,rosenbrock,101,8700,34885.32078842015
hill_climbing,rosenbrock,101,8800,34885.32078842015
hill_climbing,rosenbrock,101,8900,34885.32078842015
hill_climbing,rosenbrock,101,9000,34885.32078842015
hill_climbing,rosenbrock,101,9100,34885.32078842015
hill_climbing,rosenbrock,101,9200,34885.32078842015
hill_climbing,rosenbrock,101,9300,34885.32078842015
hill_climbing,rosenbrock,101,9400,34885.32078842015
hill_climbing,rosenbrock,101,9500,34885.32078842015
hill_climbing,rosenbrock,101,9600,34885.32078842015
hill_climbing,rosenbrock,101,9700,34885.32078842015
hill_climbing,rosenbrock,101,9800,34885.32078842015
hill_climbing,rosenbrock,101,9900,34885.32078842015
hill_climbing,rosenbrock,101,10000,34885.32078842015
hill_climbing,rosenbrock,101,10100,34885.32078842015
hill_climbing,rosenbrock,101,10200,34885.32078842015
hill_climbing,rosenbrock,101,10300,34885.32078842015
hill_climbing,rosenbrock,101,10400,34885.32078842015
hill_climbing,rosenbrock,101,10500,34885.32078842015
hill_climbing,rosenbrock,101,10600,34885.32078842015
hill_climbing,rosenbrock,101,10700,34885.32078842015
hill_climbing,rosenbrock,101,10800,34885.32078842015
hill_climbing,rosenbrock,101,10900,34885.32078842015
hill_climbing,rosenbrock,101,11000,34885.32078842015
hill_climbing,rosenbrock,101,11100,34885.32078842015
hill_climbing,rosenbrock,101,11200,34885.32078842015
hill_climbing,rosenbrock,101,11300,34885.32078842015
hill_climbing,rosenbrock,101,11400,34885.32078842015
hill_climbing,rosenbrock,101,11500,34885.32078842015
hill_climbing,rosenbrock,101,11600,34885.32078842015
hill_climbing,rosenbrock,101,11700,34885.32078842015
hill_climbing,rosenbrock,101,11800,34885.32078842015
hill_climbing,rosenbrock,101,11900,34885.32078842015
hill_climbing,rosenbrock,101,12000,34885.32078842015
hill_climbing,rosenbrock,101,12100,34885.32078842015
hill_climbing,rosenbrock,101,12200,34885.32078842015
hill_climbing,rosenbrock,101,12300,34885.32078842015
hill_climbing,rosenbrock,101,12400,34885.32078842015
hill_climbing,rosenbrock,101,12500,34885.32078842015
hill_climbing,rosenbrock,101,12600,34885.32078842015
hill_climbing,rosenbrock,101,12700,34885.32078842015
hill_climbing,rosenbrock,101,12800,34885.32078842015
hill_climbing,rosenbrock,101,12900,34885.32078842015
hill_climbing,rosenbrock,101,13000,34885.32078842015
hill_climbing,rosenbrock,101,13100,34885.32078842015
hill_climbing,rosenbrock,101,13200,34885.32078842015
hill_climbing,rosenbrock,101,13300,34885.32078842015
hill_climbing,rosenbrock,101,13400,34885.32078842015
hill_climbing,rosenbrock,101,13500,34885.32078842015
hill_climbing,rosenbrock,101,13600,34885.32078842015
hill_climbing,rosenbrock,101,13700,34885.32078842015
hill_climbing,rosenbrock,101,13800,34885.32078842015
hill_climbing,rosenbrock,101,13900,34885.32078842015
hill_climbing,rosenbrock,101,14000,34885.32078842015
hill_climbing,rosenbrock,101,14100,34885.32078842015
hill_climbing,rosenbrock,101,14200,34885.32078842015
hill_climbing,rosenbrock,101,14300,34885.32078842015
hill_climbing,rosenbrock,101,14400,34885.32078842015
hill_climbing,rosenbrock,101,14500,34885.32078842015
hill_climbing,rosenbrock,101,14600,34885.32078842015
hill_climbing,rosenbrock,101,14700,34885.32078842015
hill_climbing,rosenbrock,101,14800,34885.32078842015
hill_climbing,rosenbrock,101,14900,34885.32078842015
hill_climbing,rosenbrock,101,15000,34885.32078842015
hill_climbing,rosenbrock,101,15100,34885.32078842015
hill_climbing,rosenbrock,101,15200,34885.32078842015
hill_climbing,rosenbrock,101,15300,34885.32078842015
hill_climbing,rosenbrock,101,15400,34885.32078842015
hill_climbing,rosenbrock,101,15500,34885.32078842015
hill_climbing,rosenbrock,101,15600,21469.02323962844
hill_climbing,rosenbrock,101,15700,21469.02323962844
hill_climbing,rosenbrock,101,15800,21469.02323962844
hill_climbing,rosenbrock,101,15900,21469.02323962844
hill_climbing,rosenbrock,101,16000,21469.02323962844
hill_climbing,rosenbrock,101,16100,21469.02323962844
hill_climbing,rosenbrock,101,16200,21469.02323962844
hill_climbing,rosenbrock,101,16300,21469.02323962844
hill_climbing,rosenbrock,101,16400,21469.02323962844
hill_climbing,rosenbrock,101,16500,21469.02323962844
hill_climbing,rosenbrock,101,16600,21469.02323962844
hill_climbing,rosenbrock,101,16700,21469.02323962844
hill_climbing,rosenbrock,101,16800,21469.02323962844
hill_climbing,rosenbrock,101,16900,21469.02323962844
hill_climbing,rosenbrock,101,17000,21469.02323962844
hill_climbing,rosenbrock,101,17100,21469.02323962844
hill_climbing,rosenbrock,101,17200,21469.02323962844
hill_climbing,rosenbrock,101,17300,21469.02323962844
hill_climbing,rosenbrock,101,17400,21469.02323962844
hill_climbing,rosenbrock,101,17500,21469.02323962844
hill_climbing,rosenbrock,101,17600,21469.02323962844
hill_climbing,rosenbrock,101,17700,21469.02323962844
hill_climbing,rosenbrock,101,17800,21469.02323962844
hill_climbing,rosenbrock,101,17900,21469.02323962844
hill_climbing,rosenbrock,101,18000,21469.02323962844
hill_climbing,rosenbrock,101,18100,21469.02323962844
hill_climbing,rosenbrock,101,18200,21469.02323962844
hill_climbing,rosenbrock,101,18300,21469.02323962844
hill_climbing,rosenbrock,101,18400,21469.02323962844
hill_climbing,rosenbrock,101,18500,21469.02323962844
hill_climbing,rosenbrock,101,18600,21469.02323962844
hill_climbing,rosenbrock,101,18700,21469.02323962844
hill_climbing,rosenbrock,101,18800,21469.02323962844
hill_climbing,rosenbrock,101,18900,21469.02323962844
hill_climbing,rosenbrock,101,19000,21469.02323962844
hill_climbing,rosenbrock,101,19100,21469.02323962844
hill_climbing,rosenbrock,101,19200,21469.02323962844
hill_climbing,rosenbrock,101,19300,21469.02323962844
hill_climbing,rosenbrock,101,19400,21469.02323962844
hill_climbing,rosenbrock,101,19500,21469.02323962844
