algorithm,benchmark,seed,evaluations,best_value,best_candidate
hill_climbing,rosenbrock,100,20000,1993.6854573449932,"[1.622143380564966, 0.9668559023630963, 0.9129908539845183, 1.6088898706443784, 1.7677720925332019, 0.8010464011954399, -1.0042431733011625, -0.4622155123546706, -0.9893953311044312, 2.9927949613532996]"
hill_climbing,rosenbrock,101,20000,21469.02323962844,"[1.0608902410905507, 2.6282423527725545, 1.2621916923722405, -0.6819863786948405, -0.4771441706930374, 2.336918561328823, 2.7514716479280024, 2.8926960827120523, -3.3235691096536946, 9.099774083711239]"
hill_climbing,rosenbrock,102,20000,7307.0359314374655,"[0.5148291194056556, 0.8734939279447418, 2.4126462105187945, 2.0107513665469487, -0.7968228813556194, 0.10798767172395995, 0.8592908354217775, 0.4321563204288743, -1.946687644382699, 8.911321608846759]"
hill_climbing,rosenbrock,103,20000,12287.97940968251,"[1.1611764172016548, 1.8812567460125218, -0.30466125955777135, 0.36905425551509385, 2.3209748258283676, -0.19247892306238634, 1.5193831228244503, -0.30225153963758356, 3.464860342177076, 4.842388899077495]"
hill_climbing,rosenbrock,104,20000,4331.612593821923,"[-0.6394614518941966, 1.113729954517847, 1.8256645983613784, 0.5391154988417701, 1.0955886110668605, -1.422796145065488, 1.1657735850462032, -0.6434218201286335, -0.3873951173950757, 4.798907771006722]"
hill_climbing,rosenbrock,105,20000,9714.69517954263,"[-0.7704327895624208, -1.9826803792237668, 1.792629425564642, 0.2318803827677124, 2.7655340795831744, 0.6644522726516439, 0.4567818323433481, 1.249083673282632, -2.052417687853553, 6.7669341146100805]"
hill_climbing,rosenbrock,106,20000,11395.395211476653,"[0.33422023954241076, -1.2807295577227436, 0.5274098959755499, 0.4188028699769073, 1.1288652351537614, -1.7300327774788968, -1.9103621178152685, -0.33984259340367073, -3.655248940614452, 6.564590268115992]"
hill_climbing,rosenbrock,107,20000,6552.383339837554,"[0.5851685199138129, 1.7013667998970021, 1.0272980287244782, -0.9176282883870801, -1.112681565807494, 2.493029615108303, -0.3992580732781631, 0.35295989580766796, -0.134240658396364, 2.6446465318187813]"
hill_climbing,rosenbrock,108,20000,16356.975140926506,"[1.5586006995824364, -0.6211361617417777, -3.2629238993735292, 2.5168977610751186, -0.6242908142833387, -0.39706641596132464, 0.664459460541239, -1.8218000561641974, -0.3494404188281547, 2.6902416952085177]"
hill_climbing,rosenbrock,109,20000,6734.004400813574,"[0.7148231307007585, -1.7092429336579962, -0.25812342036402813, -1.7929804379126268, 0.30276873445266306, 0.5617588329792267, -2.457881212708494, 1.9545345930216125, 2.259220924713185, 8.708648669865646]"
hill_climbing,rosenbrock,110,20000,7274.11358263793,"[-0.08732556814910475, 0.591813439533132, -1.0767397743932527, -1.8111908839215358, 0.07269801411360854, -1.6333369808919334, 1.8724325198689895, 2.421231840039908, -0.6857894872877068, 2.3696211378128016]"
hill_climbing,rosenbrock,111,20000,8475.578241183948,"[-1.398770102842799, 1.5532711535728576, 2.4261920350093007, -1.4613345641883253, 0.8159905326579436, -0.5835384232890489, -0.30020604427902164, -2.724945480627584, 3.1142446480321215, 9.581403584578242]"
hill_climbing,rosenbrock,112,20000,8674.251415116376,"[0.21425757582295923, -0.3153945924550905, 1.0945755930709362, -1.0285421485775008, -2.1483179173975584, -1.8147211324012495, 2.5404667784068726, 2.3257804501446118, 3.428421827468353, 9.077587204987047]"
hill_climbing,rosenbrock,113,20000,10408.610050512525,"[1.887998207906762, 0.5519692034186143, 1.0337903211181265, -1.3585247106329452, 2.302594879093672, -0.27372966890695627, -2.5583189796203456, 1.3461883672729575, -0.16935165848359648, 4.406118534850261]"
hill_climbing,rosenbrock,114,20000,9520.305552158925,"[1.5240353309632875, -0.6929644049849609, -0.04444133153555796, 0.3650833547239518, -1.2261571303324115, -1.0065727786653427, -0.13545720662407335, -3.0604830396849065, 2.052426365155764, 7.808753040861601]"
hill_climbing,rosenbrock,115,20000,19466.747244521364,"[1.1565145063896243, 1.7653427743883243, -1.35458169096638, 0.055678569695404856, -2.9286308842646798, -1.8963216723043268, 0.5027435397943414, 2.823310996341089, 2.2370087304802375, 3.098872149918364]"
hill_climbing,rosenbrock,116,20000,9233.072862990106,"[1.8178142099325112, -0.6206706347764862, -0.4590731653308644, -1.5973263452020388, -0.004109700177219455, -2.5743565140172553, -0.887239253327643, -0.9265699372908809, 0.98856337591604, 0.8062446087216762]"
hill_climbing,rosenbrock,117,20000,13188.3486464837,"[2.216936762980326, 1.4279739923207964, -1.4684698159668303, 0.0035767610337723854, 2.207814159395876, 2.5982146581561443, -0.7139841253999031, -1.2207067969438197, 0.28294191309172645, 5.767495715037937]"
hill_climbing,rosenbrock,118,20000,20020.359358725254,"[-2.0938602887169044, -0.3781517510240495, -1.7120384271035434, -1.5270997476766912, -2.2539943716488424, -2.626078261182738, 2.429885586878151, 2.392527467556811, -0.5181540961308412, -1.1396920056912703]"
hill_climbing,rosenbrock,119,20000,12330.982147349088,"[0.8788153913368807, -1.0760471325011927, -1.766875719719088, -1.6576576359251365, 0.8342065050328573, -0.469116319850163, 2.55543705801263, 2.4697377649974337, -1.0533932714185756, -2.0635137753270962]"
