algorithm,benchmark,seed,evaluations,best_value,best_candidate
simulated_annealing,rastrigin,100,20000,40.53371617579891,"[0.14473171424846376, 1.1411297539446843, 2.115534125665663, -0.1931511820913677, 0.050612682523502345, -1.0759316558878451, 1.1171487692469237, -0.1438838568863727, -0.13216033216521544, 1.9428863334395672]"
simulated_annealing,rastrigin,101,20000,35.35292892948878,"[-2.067700599984479, 1.0143095607103614, 0.0385178089565079, -0.11321141699792636, -1.9153435941042836, 0.10866116531175418, 0.8682307462329872, 0.8714904734059447, -1.1080640782952633, 2.1321824428651075]"
simulated_annealing,rastrigin,102,20000,26.156896388709725,"[0.02804558134522711, 0.8530908913364715, 0.8829224473894803, -0.07947437965085336, 0.15067738910626674, 1.9990042165756914, 0.07203651970289451, 0.9419206042119735, 2.0696469410130334, -0.062097305435045325]"
simulated_annealing,rastrigin,103,20000,42.55571567833561,"[1.0034752746833204, 2.0837480221557314, 2.028469663679744, -1.0927045926591992, -1.9626245761565915, -1.9549913277521893, 0.833671329340763, 1.1256709151643927, -0.2562462867833981, -0.011912799107042233]"
simulated_annealing,rastrigin,104,20000,41.23453082103789,"[-0.004315345477941851, -1.007429380627038, -1.0259987149903735, 0.059645841985468545, 1.9836388962829805, 0.4134122919408063, 2.1349131732379854, 2.0192540718286733, 1.0650666992337665, -0.08977643601088625]"
simulated_annealing,rastrigin,105,20000,38.09178616336574,"[1.9511040256325318, -0.0772142230083365, -0.059691053388912396, -2.0712186470530813, -1.123915421321886, 1.9471011825905586, -1.770113137811754, -0.985892696620809, 0.011800737577591647, -1.907214523365812]"
simulated_annealing,rastrigin,106,20000,50.0408765233702,"[-2.1124771330600653, 1.0388363894280521, -2.9834842073878294, 2.0382679047855143, 2.920032404065298, -1.0857085651194207, -0.1702654406829418, 1.1039860476233514, 0.1687832549767029, 0.1124255421867959]"
simulated_annealing,rastrigin,107,20000,45.28124586555006,"[-0.0670180309702329, 2.739782489315016, -0.1611252675028473, -0.01552956100290076, 0.9680239361363647, 2.0643591055942894, 3.0232479668677863, 1.996196376451393, 0.08962804462569496, 0.04975462783121788]"
simulated_annealing,rastrigin,108,20000,29.75592118596886,"[0.07651314523382982, 0.9007413550538117, 0.9424935428120236, -0.05337009433044914, 1.7844832024351933, 1.0654832401696903, 0.9993043840392528, -0.9921049805633186, 1.8552025771065384, -0.0888602768645825]"
simulated_annealing,rastrigin,109,20000,52.57567128889228,"[-1.1939626679555517, -1.0410943946697222, -2.865997624433835, 0.12755583641842572, -0.8896575141041805, 0.7401297499866015, -1.0601005958816478, 2.884157021413185, 0.030235867931278082, 1.04246289470444]"
simulated_annealing,rastrigin,110,20000,37.761658111085936,"[-1.0793129011320715, -2.042209723789258, -1.0147284723818102, 0.8889780652430768, 2.1027273670012034, 0.9537063172876323, -0.025397487876545055, -2.1710041205239574, 0.9183021645910462, -2.108658475108389]"
simulated_annealing,rastrigin,111,20000,57.84399271023884,"[0.13207460621646067, 1.0563743077612386, -0.04624799097531014, -2.9064369096204166, 2.188279153506616, -0.03696717224586618, 2.010017321222707, 0.9880339780202423, 4.957404525164085, 1.0059563202606787]"
simulated_annealing,rastrigin,112,20000,45.80053971291433,"[0.19769459438747056, -3.0174294051480026, 1.9409301930846625, -0.01290691110032384, -2.0368460060436893, -2.874781428383752, -0.9251442656515303, 1.0321955582749014, 2.0633280265914817, -1.0442763358080038]"
simulated_annealing,rastrigin,113,20000,49.640051181331565,"[-0.9355267141966288, 1.1590364038040728, -0.29652487769475533, -1.0333867433101094, 2.9064932736917344, -0.04916641723305837, -0.058565641564400917, 0.9658921257476978, -2.9446443788056467, 0.1849521356133564]"
simulated_annealing,rastrigin,114,20000,42.940559606660344,"[1.1278899074382491, -1.1753403461363914, 0.8556096551151731, -0.9067589721002117, 0.01061481562189348, -0.8935359261383506, -1.9838567562581646, 2.994354241371515, 0.9061056821166865, -1.880121037930283]"
simulated_annealing,rastrigin,115,20000,28.064096175898328,"[0.9739086528125707, 1.1372110477255424, 1.9784443823812146, -0.06149840546556237, -0.037975703102391956, 0.21570721048683306, 1.053718802642877, 1.0235309478689736, 0.16832796078290888, -0.9551900666109342]"
simulated_annealing,rastrigin,116,20000,34.02984933309648,"[3.0800580314595036, -0.07823692193272097, 1.080405641308038, -1.0177432984071375, -0.8775400949414026, 0.9466505210090725, -2.1002199798838777, -0.18581362638168006, -0.03057405927574286, -0.06923692447287341]"
simulated_annealing,rastrigin,117,20000,54.56492403304489,"[-1.0083899084511738, 2.907327210427103, 1.9450945468742686, -1.0915801324346956, -0.006828906297479204, 0.06867546506138014, -3.9023064268453953, -2.0060668376804163, -0.9019919035335267, -3.1016893212831222]"
simulated_annealing,rastrigin,118,20000,41.02506310663037,"[-2.0965488529554634, -0.9840530376082232, -1.89829821421915, -1.074289534463369, -2.949164875425862, -0.980417405386485, -2.025853299046302, 0.8422743326603213, -0.9768314242861499, -1.9081934022401017]"
simulated_annealing,rastrigin,119,20000,46.383876811601496,"[0.9214796431486559, -2.1360219139781367, -1.9740530067838498, -0.9578262669717003, -0.11845975625234145, 0.14675081317446703, 1.76109775027925, 0.9742303604172684, 0.08529041044485747, 3.038160413424104]"
