algorithm,benchmark,seed,evaluations,best_value
simulated_annealing,rosenbrock,100,100,1160.6018339712857
simulated_annealing,rosenbrock,100,200,773.9134012875793
simulated_annealing,rosenbrock,100,300,536.7865562040773
simulated_annealing,rosenbrock,100,400,239.2880457081784
simulated_annealing,rosenbrock,100,500,239.2880457081784
simulated_annealing,rosenbrock,100,600,87.40437160416342
simulated_annealing,rosenbrock,100,700,87.40437160416342
simulated_annealing,rosenbrock,100,800,87.40437160416342
simulated_annealing,rosenbrock,100,900,87.40437160416342
simulated_annealing,rosenbrock,100,1000,87.40437160416342
simulated_annealing,rosenbrock,100,1100,87.40437160416342
simulated_annealing,rosenbrock,100,1200,87.40437160416342
simulated_annealing,rosenbrock,100,1300,87.40437160416342
simulated_annealing,rosenbrock,100,1400,87.40437160416342
simulated_annealing,rosenbrock,100,1500,87.40437160416342
simulated_annealing,rosenbrock,100,1600,87.40437160416342
simulated_annealing,rosenbrock,100,1700,87.40437160416342
simulated_annealing,rosenbrock,100,1800,87.40437160416342
simulated_annealing,rosenbrock,100,1900,87.40437160416342
simulated_annealing,rosenbrock,100,2000,87.40437160416342
simulated_annealing,rosenbrock,100,2100,87.40437160416342
simulated_annealing,rosenbrock,100,2200,87.40437160416342
simulated_annealing,rosenbrock,100,2300,87.40437160416342
simulated_annealing,rosenbrock,100,2400,87.40437160416342
simulated_annealing,rosenbrock,100,2500,87.40437160416342
simulated_annealing,rosenbrock,100,2600,87.40437160416342
simulated_annealing,rosenbrock,100,2700,87.40437160416342
simulated_annealing,rosenbrock,100,2800,51.52571142082155
simulated_annealing,rosenbrock,100,2900,51.52571142082155
simulated_annealing,rosenbrock,100,3000,51.52571142082155
simulated_annealing,rosenbrock,100,3100,51.52571142082155
simulated_annealing,rosenbrock,100,3200,51.52571142082155
simulated_annealing,rosenbrock,100,3300,51.52571142082155
simulated_annealing,rosenbrock,100,3400,51.52571142082155
simulated_annealing,rosenbrock,100,3500,51.52571142082155
simulated_annealing,rosenbrock,100,3600,51.52571142082155
simulated_annealing,rosenbrock,100,3700,51.52571142082155
simulated_annealing,rosenbrock,100,3800,51.52571142082155
simulated_annealing,rosenbrock,100,3900,51.52571142082155
simulated_annealing,rosenbrock,100,4000,51.52571142082155
simulated_annealing,rosenbrock,100,4100,51.52571142082155
simulated_annealing,rosenbrock,100,4200,51.52571142082155
simulated_annealing,rosenbrock,100,4300,51.52571142082155
simulated_annealing,rosenbrock,100,4400,51.52571142082155
simulated_annealing,rosenbrock,100,4500,51.52571142082155
simulated_annealing,rosenbrock,100,4600,51.52571142082155
simulated_annealing,rosenbrock,100,4700,51.52571142082155
simulated_annealing,rosenbrock,100,4800,51.52571142082155
simulated_annealing,rosenbrock,100,4900,51.52571142082155
simulated_annealing,rosenbrock,100,5000,51.52571142082155
simulated_annealing,rosenbrock,100,5100,51.52571142082155
simulated_annealing,rosenbrock,100,5200,51.52571142082155
simulated_annealing,rosenbrock,100,5300,51.52571142082155
simulated_annealing,rosenbrock,100,5400,51.52571142082155
simulated_annealing,rosenbrock,100,5500,51.52571142082155
simulated_annealing,rosenbrock,100,5600,51.52571142082155
simulated_annealing,rosenbrock,100,5700,51.52571142082155
simulated_annealing,rosenbrock,100,5800,51.52571142082155
simulated_annealing,rosenbrock,100,5900,51.52571142082155
simulated_annealing,rosenbrock,100,6000,51.52571142082155
simulated_annealing,rosenbrock,100,6100,51.52571142082155
simulated_annealing,rosenbrock,100,6200,51.52571142082155
simulated_annealing,rosenbrock,100,6300,51.52571142082155
simulated_annealing,rosenbrock,100,6400,51.52571142082155
simulated_annealing,rosenbrock,100,6500,51.52571142082155
